Image Name,RHA,RHAZ,LHA,LHAZ,REA,REAZ,LEA,LEAZ,RKA,RKAZ,LKA,LKAZ,RSA,RSAZ,LSA,LSAZ
_ (8).jpg:,"112.37012950135667
",-0.254651436,"146.24419359991722
",0.116288818,"163.29666761460027
",-0.275493555,"165.37383837131804
",-0.101961066,"169.83964715490117
",0.173266526,"2.6615281868343357
",-1.007606056,"152.00384574092428
",-0.077316979,"147.9833010055829
",-0.74343866
_ (9).jpg:,"167.04452878952202
",1.404627461,"120.72001961540313
",-0.600575302,"159.46690904831448
",-0.737627376,"168.1412647579824
",0.421891707,"167.511617367806
",-0.112797358,"8.8662719138661
",-0.170650113,"143.57589874453666
",-0.390691622,"144.92138937555032
",-1.070587036
(10).jpg:,"172.68425557556856
",1.575783976,"91.1809575472905
",-1.430200337,"155.50160158320992
",-1.216117772,"176.1968001977596
",1.946743316,"157.4788255109901
",-1.345607789,"24.471960968802666
",1.934396409,"155.78502409944738
",0.063277808,"160.82848090599765
",0.628997989
(11).jpg:,"52.50991514240949
",-2.071311368,"32.31090923058205
",-3.083606453,"138.62328186315267
",-3.252810752,"176.68422870786415
",2.039009827,"158.5933386345758
",-1.20865853,"19.174053490101613
",1.219763324,"136.1725899393002
",-0.665967351,"143.78874687112457
",-1.191603643
(12).jpg:,"105.24050318862129
",-0.471023973,"177.11765255191642
",0.983391314,"170.95171240347617
",0.648234413,"168.3400540916045
",0.459521017,"177.36106420406196
",1.097483985,"26.01805019721998
",2.142947902,"177.16468578100705
",0.85823343,"172.75893712831933
",1.903701457
(13).jpg:,"112.48547332341401
",-0.251150939,"162.56293391147508
",0.574611952,"175.00078845120044
",1.136833095,"160.72958614317469
",-0.9810827,"176.3937513379883
",0.978622415,"5.083812021084154
",-0.680864946,"164.54038335912622
",0.388826555,"153.82246024131155
",-0.119556691
(14).jpg:,"171.84020980605507
",1.550168562,"102.69751679840898
",-1.106749787,"167.95888945065184
",0.287092925,"167.38811823871526
",0.279326798,"157.93938743314808
",-1.289014813,"11.008613638049013
",0.118329693,"154.2993922475951
",0.008037861,"155.77146559469483
",0.088683785
(15).jpg:,"110.02947049473129
",-0.325686622,"154.02923241095735
",0.33493703,"168.90796199653929
",0.40161673,"166.1074119175675
",0.036898829,"162.91362455437917
",-0.677789992,"4.595939764983918
",-0.746673883,"168.955240431395
",0.55298329,"160.49746626838015
",0.5936309
(16).jpg:,"94.4997471690542
",-0.796988411,"175.96995672784476
",0.951157481,"172.12779690135963
",0.790151564,"173.268677630895
",1.392471978,"169.83534281920745
",0.172737617,"9.366718398960566
",-0.103145043,"173.97565761581387
",0.739656443,"167.02247223858072
",1.290791812
(17).jpg:,"156.71113087773284
",1.091025678,"110.94426485916365
",-0.875134151,"159.79453148821295
",-0.698093446,"162.58918056619135
",-0.629075615,"171.0386249138966
",0.320594638,"3.7248757534330967
",-0.864171435,"140.08590734174746
",-0.520459264,"149.34632340240051
",-0.597807232
