"","y.level","term","estimate","std.error","statistic","p.value"
"1","Sorted_Boat_Pose_or_Paripurna_Navasana","(Intercept)",0.676172953885584,3.8581504369158,0.175258317409239,0.860876662682285
"2","Sorted_Boat_Pose_or_Paripurna_Navasana","RHA",-0.0244467975013933,0.016823720373171,-1.45311482592036,0.146191875308121
"3","Sorted_Boat_Pose_or_Paripurna_Navasana","LHA",0.0105304529605962,0.0262367015755543,0.401363446173731,0.688152557856735
"4","Sorted_Boat_Pose_or_Paripurna_Navasana","REA",-0.0244467975021233,0.0168237113886447,-1.45311560198446,0.146191659870404
"5","Sorted_Boat_Pose_or_Paripurna_Navasana","LEA",0.0351966113078041,0.0210020442437204,1.67586597282442,0.093764448112369
"6","Sorted_Boat_Pose_or_Paripurna_Navasana","RKA",0.028304167086482,0.0283351691832669,0.998905879241997,0.317840287911118
"7","Sorted_Boat_Pose_or_Paripurna_Navasana","LKA",-0.0382080469046581,0.025892802496789,-1.47562423609404,0.140044795163612
"8","Sorted_Boat_Pose_or_Paripurna_Navasana","RSA",0.0211963007078778,0.0274630678056118,0.771811104932225,0.440226313579417
"9","Sorted_Boat_Pose_or_Paripurna_Navasana","LSA",-0.0505764566551978,0.0263365646917402,-1.92038928566336,0.0548087458927441
"10","Sorted_Bow_Pose_or_Dhanurasana","(Intercept)",-0.0757023328507617,4.63723604202686,-0.016324882357654,0.986975206934239
"11","Sorted_Bow_Pose_or_Dhanurasana","RHA",-0.00744857904308997,0.0151888097774374,-0.490399126214266,0.623851494874317
"12","Sorted_Bow_Pose_or_Dhanurasana","LHA",0.0187683318506131,0.025649697404791,0.731717476211139,0.464341027337242
"13","Sorted_Bow_Pose_or_Dhanurasana","REA",-0.00744857904210815,0.0151888101222565,-0.490399115016495,0.623851502796587
"14","Sorted_Bow_Pose_or_Dhanurasana","LEA",0.046137088756334,0.0225776598671316,2.04348409125873,0.0410045406296973
"15","Sorted_Bow_Pose_or_Dhanurasana","RKA",-0.0345386253848576,0.02432197620775,-1.42005834928217,0.155590694631832
"16","Sorted_Bow_Pose_or_Dhanurasana","LKA",0.00308107119981293,0.0231572795113828,0.133049791030007,0.894154002956692
"17","Sorted_Bow_Pose_or_Dhanurasana","RSA",0.0128251196367157,0.0262903659737376,0.487825831315058,0.625673212977862
"18","Sorted_Bow_Pose_or_Dhanurasana","LSA",-0.0250402311102805,0.0256608283212554,-0.975815386658396,0.32915595841883
"19","Sorted_Camel_Pose_Ustrasana","(Intercept)",0.462547791237783,4.16414967275994,0.11107857007724,0.911554042166655
"20","Sorted_Camel_Pose_Ustrasana","RHA",-0.00341597741471002,0.0157049430458594,-0.21750969772607,0.827811150211615
"21","Sorted_Camel_Pose_Ustrasana","LHA",0.0191532441085471,0.0270225057829648,0.708788602447869,0.478455671684929
"22","Sorted_Camel_Pose_Ustrasana","REA",-0.00341597741450633,0.0157049429433218,-0.217509699133221,0.827811149115118
"23","Sorted_Camel_Pose_Ustrasana","LEA",0.0302978261249733,0.0199269261476279,1.52044655058753,0.128398782487066
"24","Sorted_Camel_Pose_Ustrasana","RKA",-0.0124252665597629,0.0245559675380397,-0.505997841075286,0.612858165250815
"25","Sorted_Camel_Pose_Ustrasana","LKA",-0.0023428581430048,0.0222008041640443,-0.105530327896825,0.915955006159815
"26","Sorted_Camel_Pose_Ustrasana","RSA",0.0038501821549429,0.0298136158303133,0.129141737683095,0.897245496609759
"27","Sorted_Camel_Pose_Ustrasana","LSA",-0.0342072692010251,0.027635863275622,-1.23778544060174,0.215795628354618
"28","Sorted_cat_pose","(Intercept)",-0.121296100406456,0.611839496530061,-0.198248235189727,0.84285085010716
"29","Sorted_cat_pose","RHA",-0.00474824006103649,0.0165626828693625,-0.286683027048699,0.774355034783528
"30","Sorted_cat_pose","LHA",-0.00693613342811602,0.0281471702163325,-0.246423827859303,0.805354162873218
"31","Sorted_cat_pose","REA",-0.00474824006127975,0.016562682799476,-0.28668302827305,0.774355033845968
"32","Sorted_cat_pose","LEA",0.0769889580242503,0.0276364896282981,2.78577196524331,0.00534004231424863
"33","Sorted_cat_pose","RKA",-0.0363528462939933,0.0268738865868678,-1.35272009043,0.176145069670542
"34","Sorted_cat_pose","LKA",-0.0341453951217376,0.0240105603135388,-1.42209905457659,0.154997497221087
"35","Sorted_cat_pose","RSA",0.0417311440024159,0.0287929448018428,1.44935310679806,0.147238997208371
"36","Sorted_cat_pose","LSA",-0.0565971105669646,0.0282751548360297,-2.00165519499987,0.0453218283308875
"37","Sorted_Chair_Pose_or_Utkatasana","(Intercept)",-1.40716543745251,3.66582276807975,-0.383860739178512,0.701081666810733
"38","Sorted_Chair_Pose_or_Utkatasana","RHA",0.0108855194944875,0.0154490257831857,0.704608798461255,0.481053721542023
"39","Sorted_Chair_Pose_or_Utkatasana","LHA",-0.0171886513728992,0.0267409472988731,-0.642783936589393,0.520364307673536
"40","Sorted_Chair_Pose_or_Utkatasana","REA",0.0108855194934174,0.0154490257789662,0.704608798584442,0.48105372146534
"41","Sorted_Chair_Pose_or_Utkatasana","LEA",0.056905261556644,0.0248519740203099,2.2897682699225,0.0220347534488877
"42","Sorted_Chair_Pose_or_Utkatasana","RKA",-0.0755210285601421,0.0261385024287948,-2.88926378876804,0.00386144995568061
"43","Sorted_Chair_Pose_or_Utkatasana","LKA",-0.0602714520582056,0.0223178625338881,-2.70059249476457,0.00692160878022724
"44","Sorted_Chair_Pose_or_Utkatasana","RSA",0.0876116432682628,0.0322400390299149,2.71747944185085,0.00657812418444234
